data1,data2,data3,label
-130.0,-24.0,1015.0,leftright
-60.0,-32.0,990.0,leftright
-6.0,-32.0,1028.0,leftright
85.0,-25.0,972.0,leftright
215.0,2.0,1057.0,leftright
279.0,-7.0,1002.0,leftright
346.0,-32.0,1042.0,leftright
439.0,-26.0,1010.0,leftright
481.0,-21.0,1051.0,leftright
482.0,-17.0,1034.0,leftright
474.0,-23.0,1015.0,leftright
474.0,-12.0,992.0,leftright
426.0,-22.0,960.0,leftright
424.0,-24.0,939.0,leftright
417.0,-17.0,958.0,leftright
396.0,-42.0,920.0,leftright
328.0,-36.0,909.0,leftright
260.0,-17.0,913.0,leftright
54.0,-18.0,963.0,leftright
-169.0,100.0,1260.0,leftright
-46.0,17.0,960.0,leftright
-71.0,-36.0,977.0,leftright
-106.0,2.0,1061.0,leftright
-76.0,16.0,1010.0,leftright
-128.0,27.0,1001.0,leftright
-106.0,20.0,983.0,leftright
-136.0,39.0,1020.0,leftright
-78.0,44.0,969.0,leftright
-79.0,23.0,1015.0,leftright
-102.0,30.0,1014.0,leftright
-113.0,37.0,1020.0,leftright
-104.0,8.0,980.0,leftright
-107.0,4.0,995.0,leftright
-127.0,12.0,1000.0,leftright
-155.0,15.0,1008.0,leftright
-171.0,-7.0,1005.0,leftright
-167.0,4.0,1003.0,leftright
-133.0,12.0,996.0,leftright
-144.0,-26.0,1008.0,leftright
-66.0,-16.0,1004.0,leftright
-37.0,24.0,1005.0,leftright
-44.0,32.0,1006.0,leftright
-6.0,0.0,1003.0,leftright
-28.0,12.0,999.0,leftright
-70.0,-20.0,1003.0,leftright
-88.0,-12.0,1004.0,leftright
-93.0,8.0,1003.0,leftright
-70.0,1.0,1001.0,leftright
-87.0,-17.0,1004.0,leftright
-138.0,-41.0,993.0,leftright
-132.0,-34.0,1022.0,leftright
-170.0,-23.0,1005.0,leftright
-138.0,-19.0,1018.0,leftright
-166.0,-12.0,955.0,leftright
-160.0,14.0,1035.0,leftright
-123.0,0.0,1002.0,leftright
-167.0,-22.0,975.0,leftright
-105.0,-19.0,1028.0,leftright
-148.0,12.0,987.0,leftright
-115.0,18.0,988.0,leftright
-103.0,28.0,1046.0,leftright
-98.0,9.0,960.0,leftright
-63.0,-19.0,1032.0,leftright
-55.0,-3.0,983.0,leftright
-55.0,17.0,989.0,leftright
-72.0,15.0,1058.0,leftright
-41.0,25.0,1009.0,leftright
7.0,30.0,1043.0,leftright
33.0,6.0,975.0,leftright
47.0,-18.0,987.0,leftright
68.0,-31.0,1036.0,leftright
70.0,-40.0,1005.0,leftright
84.0,-41.0,1014.0,leftright
92.0,-34.0,1047.0,leftright
100.0,-9.0,978.0,leftright
159.0,17.0,1018.0,leftright
223.0,43.0,1026.0,leftright
258.0,77.0,1011.0,leftright
284.0,65.0,969.0,leftright
322.0,54.0,951.0,leftright
359.0,81.0,953.0,leftright
335.0,48.0,966.0,leftright
335.0,54.0,940.0,leftright
283.0,20.0,967.0,leftright
292.0,34.0,978.0,leftright
281.0,43.0,1012.0,leftright
257.0,45.0,1002.0,leftright
176.0,84.0,1274.0,leftright
136.0,34.0,896.0,leftright
126.0,12.0,1046.0,leftright
123.0,25.0,987.0,leftright
103.0,23.0,989.0,leftright
105.0,37.0,1014.0,leftright
93.0,16.0,1015.0,leftright
91.0,-21.0,1008.0,leftright
68.0,-7.0,985.0,leftright
66.0,-7.0,1014.0,leftright
31.0,-35.0,1020.0,leftright
-19.0,-51.0,997.0,leftright
-50.0,-46.0,1035.0,leftright
-59.0,-33.0,964.0,leftright
-75.0,-39.0,1010.0,leftright
-111.0,-21.0,1011.0,leftright
-154.0,-23.0,1024.0,leftright
-176.0,-32.0,970.0,leftright
-229.0,-25.0,995.0,leftright
-271.0,-3.0,1019.0,leftright
-305.0,-8.0,1007.0,leftright
-336.0,-2.0,1001.0,leftright
-389.0,2.0,998.0,leftright
-391.0,20.0,1011.0,leftright
-290.0,26.0,1038.0,leftright
-308.0,40.0,996.0,leftright
-286.0,34.0,946.0,leftright
-349.0,30.0,1015.0,leftright
-339.0,36.0,1005.0,leftright
-274.0,38.0,1008.0,leftright
-218.0,33.0,1010.0,leftright
-181.0,10.0,980.0,leftright
-158.0,0.0,1011.0,leftright
-130.0,-1.0,999.0,leftright
-120.0,14.0,1025.0,leftright
-106.0,5.0,985.0,leftright
-38.0,3.0,1013.0,leftright
22.0,-1.0,981.0,leftright
74.0,-5.0,1024.0,leftright
58.0,-18.0,990.0,leftright
65.0,-17.0,999.0,leftright
66.0,-18.0,1005.0,leftright
59.0,-11.0,1012.0,leftright
15.0,-17.0,1015.0,leftright
22.0,-29.0,998.0,leftright
63.0,-31.0,1002.0,leftright
51.0,-22.0,999.0,leftright
76.0,-21.0,996.0,leftright
56.0,-20.0,1007.0,leftright
42.0,-16.0,1009.0,leftright
36.0,-10.0,1005.0,leftright
49.0,3.0,995.0,leftright
64.0,7.0,1007.0,leftright
71.0,7.0,982.0,leftright
104.0,-2.0,1027.0,leftright
125.0,-7.0,1021.0,leftright
134.0,-9.0,994.0,leftright
125.0,-11.0,994.0,leftright
122.0,-8.0,993.0,leftright
143.0,-3.0,1003.0,leftright
187.0,-11.0,996.0,leftright
233.0,1.0,1005.0,leftright
263.0,-8.0,998.0,leftright
244.0,-12.0,1004.0,leftright
121.0,-8.0,1007.0,leftright
175.0,-33.0,997.0,leftright
190.0,-16.0,1007.0,leftright
190.0,0.0,1002.0,leftright
162.0,0.0,1003.0,leftright
135.0,-8.0,998.0,leftright
134.0,-10.0,1000.0,leftright
115.0,-4.0,1008.0,leftright
120.0,2.0,996.0,leftright
91.0,11.0,1001.0,leftright
75.0,14.0,999.0,leftright
69.0,5.0,1006.0,leftright
68.0,3.0,1011.0,leftright
53.0,10.0,1007.0,leftright
63.0,2.0,998.0,leftright
71.0,-4.0,1001.0,leftright
71.0,-11.0,1013.0,leftright
81.0,3.0,1009.0,leftright
56.0,-6.0,987.0,leftright
57.0,-4.0,1015.0,leftright
38.0,-8.0,991.0,leftright
64.0,6.0,1000.0,leftright
58.0,2.0,1003.0,leftright
69.0,0.0,995.0,leftright
80.0,-7.0,1037.0,leftright
88.0,-8.0,980.0,leftright
100.0,-6.0,1004.0,leftright
101.0,-2.0,994.0,leftright
94.0,-2.0,1017.0,leftright
76.0,-1.0,1004.0,leftright
34.0,-3.0,984.0,leftright
-20.0,-10.0,1016.0,leftright
-77.0,-10.0,1012.0,leftright
-143.0,-5.0,1021.0,leftright
-225.0,2.0,975.0,leftright
-363.0,-1.0,992.0,leftright
-506.0,-15.0,1005.0,leftright
-607.0,-20.0,1015.0,leftright
-676.0,3.0,1001.0,leftright
-650.0,32.0,1010.0,leftright
-703.0,18.0,1021.0,leftright
-666.0,80.0,980.0,leftright
-615.0,51.0,998.0,leftright
-498.0,39.0,1021.0,leftright
-401.0,35.0,988.0,leftright
-211.0,40.0,1020.0,leftright
-85.0,14.0,998.0,leftright
106.0,-19.0,998.0,leftright
284.0,-30.0,1009.0,leftright
488.0,-37.0,988.0,leftright
663.0,-29.0,1012.0,leftright
767.0,-20.0,965.0,leftright
905.0,32.0,978.0,leftright
901.0,34.0,1145.0,leftright
886.0,57.0,1009.0,leftright
845.0,-9.0,986.0,leftright
784.0,-21.0,958.0,leftright
682.0,-22.0,928.0,leftright
551.0,-38.0,906.0,leftright
323.0,-17.0,1170.0,leftright
113.0,18.0,1020.0,leftright
-46.0,-110.0,991.0,leftright
-230.0,-89.0,1019.0,leftright
-406.0,-55.0,1022.0,leftright
-594.0,-67.0,963.0,leftright
-779.0,-94.0,1014.0,leftright
-841.0,-49.0,1003.0,leftright
-927.0,-39.0,998.0,leftright
-932.0,-79.0,1025.0,leftright
-861.0,53.0,982.0,leftright
-900.0,-20.0,1006.0,leftright
-838.0,-13.0,1007.0,leftright
-737.0,-3.0,1001.0,leftright
-624.0,-19.0,973.0,leftright
-415.0,-18.0,1016.0,leftright
-176.0,-41.0,1007.0,leftright
31.0,-59.0,1034.0,leftright
286.0,-92.0,975.0,leftright
502.0,-91.0,964.0,leftright
678.0,-58.0,985.0,leftright
764.0,-47.0,1117.0,leftright
754.0,-15.0,1042.0,leftright
755.0,6.0,1032.0,leftright
735.0,1.0,1008.0,leftright
673.0,-30.0,982.0,leftright
643.0,-55.0,936.0,leftright
